Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
160,Mason Plumlee,LAC,,MIN,L,8:55,1,1,1.000,0,0,,0,0,,2,2,0,2,0,2.0,plumlma01
161,Braxton Key,DEN,@,MIL,L,5:36,1,1,1.000,0,0,,0,1,.000,0,0,1,2,+2,1.9,keybr01
162,MarJon Beauchamp,MIL,,DEN,W,6:16,1,2,.500,1,2,.500,0,0,,0,1,1,3,-3,1.6,beaucma01
163,Jae Crowder,MIL,,DEN,W,22:54,1,4,.250,0,2,.000,0,0,,1,1,0,2,+3,1.6,crowdja01
164,Derrick Jones,DAL,,WAS,W,11:58,1,2,.500,0,0,,0,0,,0,1,1,2,-6,1.6,jonesde02
165,Zeke Nnaji,DEN,@,MIL,L,8:06,1,5,.200,0,0,,0,0,,0,0,1,2,+3,1.6,nnajize01
166,Delon Wright,WAS,@,DAL,L,5:02,1,2,.500,0,0,,0,0,,1,0,1,2,+4,1.6,wrighde01
167,Julian Strawther,DEN,@,MIL,L,6:39,0,3,.000,0,3,.000,2,2,1.000,2,0,0,2,+3,1.3,strawju01
168,Omer Yurtseven,UTA,,GSW,L,2:16,1,2,.500,0,0,,0,0,,0,0,0,2,-2,1.3,yurtsom01
169,Kevon Looney,GSW,@,UTA,W,10:59,0,2,.000,0,0,,0,0,,2,0,1,0,+6,1.2,looneke01
170,Sandro Mamukelashvili,SAS,@,TOR,W,6:18,1,2,.500,0,1,.000,0,1,.000,0,0,1,2,-4,1.2,mamuksa01
171,Terance Mann,LAC,,MIN,L,25:13,1,3,.333,0,0,,0,0,,1,1,1,2,-4,1.2,mannte01
172,Vasilije Micić,CHO,,IND,W,21:11,1,3,.333,0,1,.000,0,0,,4,2,3,2,+9,1.2,micicva01
173,Bilal Coulibaly,WAS,@,DAL,L,30:24,1,10,.100,1,4,.250,1,2,.500,1,1,2,4,-13,1.0,coulibi01
174,Josh Minott,MIN,@,LAC,W,2:10,0,0,,0,0,,0,0,,0,0,0,0,+4,1.0,minotjo01
